u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,fuv-nuv,fuv-u,fuv-g,fuv-r,fuv-i,fuv-z,class
20.0247554779053,20.0000877380371,20.1712589263916,20.3688888549805,20.472017288208,0.083740793168545,0.065250262618065,0.045139826834202,0.033543732017279,0.024950372055173,20.8355522155762,21.7279262542725,0.810796737670898,0.835464477539095,0.664293289184595,0.466663360595696,0.363534927368196,0.024667739868196,-0.146503448486303,-0.344133377075202,-0.447261810302702,-0.171171188354499,-0.368801116943398,-0.471929550170898,-0.197629928588899,-0.300758361816399,-0.1031284332275,-0.892374038696303,-1.7031707763672,-1.7278385162354,-1.5566673278809,-1.359037399292,-1.2559089660645,0
20.7072734832764,20.2789192199707,20.2154102325439,19.8019199371338,19.8191108703613,0.10114524513483,0.078811690211296,0.054521560668945,0.0405153632164,0.030135987326503,20.8896923065186,21.7974166870117,0.182418823242202,0.610773086547901,0.674282073974702,1.0877723693848,1.0705814361573,0.4283542633057,0.4918632507325,0.905353546142599,0.888162612915096,0.063508987426801,0.4769992828369,0.459808349609396,0.413490295410099,0.396299362182596,-0.017190933227504,-0.9077243804931,-1.0901432037353,-1.518497467041,-1.5820064544678,-1.9954967498779,-1.9783058166504,1
20.3217792510986,19.8740787506104,19.9077281951904,20.0359668731689,19.8621654510498,0.083703808486462,0.065221443772316,0.045119892805815,0.033528916537762,0.02493935264647,19.7577495574951,21.9861373901367,-0.564029693603501,-0.116329193115298,-0.149978637695298,-0.2782173156738,-0.104415893554702,0.447700500488203,0.414051055908203,0.285812377929702,0.4596138000488,-0.03364944458,-0.161888122558501,0.011913299560597,-0.128238677978501,0.045562744140597,0.173801422119098,-2.2283878326416,-1.6643581390381,-2.1120586395263,-2.0784091949463,-1.9501705169678,-2.1239719390869,1
24.1040420532227,21.8576965332031,20.6230792999268,19.4322376251221,18.533275604248,0.071296386420727,0.055553663522005,0.038431767374277,0.028558921068907,0.021242590621114,23.1595268249512,23.1538410186768,-0.944515228271499,1.3018302917481,2.5364475250244,3.7272891998291,4.6262512207032,2.2463455200196,3.4809627532959,4.6718044281006,5.5707664489747,1.2346172332763,2.425458908081,3.3244209289551,1.1908416748047,2.0898036956788,0.898962020874102,0.0056858062744,0.950201034545898,-1.2961444854737,-2.53076171875,-3.7216033935547,-4.6205654144288,0
23.2775363922119,20.7229480743408,19.2876930236816,18.7899303436279,18.3970489501953,0.059368014335632,0.04625915363431,0.032001867890358,0.023780817165971,0.017688559368253,22.8669567108154,22.7999801635742,-0.410579681396502,2.1440086364746,3.5792636871338,4.0770263671875,4.4699077606201,2.5545883178711,3.9898433685303,4.487606048584,4.8804874420166,1.4352550506592,1.9330177307129,2.3258991241455,0.497762680053704,0.8906440734863,0.392881393432596,0.066976547241197,0.477556228637699,-2.0770320892334,-3.5122871398926,-4.0100498199463,-4.4029312133789,1
19.3079051971436,17.8607387542725,17.1581630706787,16.7578048706055,16.5032196044922,0.16254198551178,0.126651614904404,0.087617002427578,0.065108820796013,0.048429004848003,20.1879653930664,20.7451286315918,0.880060195922798,2.3272266387939,3.0298023223877,3.4301605224609,3.6847457885742,1.4471664428711,2.1497421264649,2.5501003265381,2.8046855926514,0.7025756835938,1.102933883667,1.3575191497803,0.4003582000732,0.654943466186502,0.254585266113303,-0.557163238525401,-1.4372234344482,-2.8843898773193,-3.5869655609131,-3.9873237609863,-4.2419090270996,1
23.7280788421631,22.1755771636963,20.7148208618164,18.9350852966309,17.719575881958,0.107618033885956,0.083855241537094,0.058010667562485,0.043108142912388,0.032064538449049,23.4839210510254,23.9363040924072,-0.244157791137699,1.3083438873291,2.769100189209,4.5488357543945,5.7643451690674,1.5525016784668,3.0132579803467,4.7929935455322,6.0085029602051,1.4607563018799,3.2404918670654,4.4560012817383,1.7797355651855,2.9952449798584,1.2155094146729,-0.452383041381797,-0.208225250244098,-1.7607269287109,-3.2214832305908,-5.0012187957763,-6.2167282104492,0
24.606237411499,21.7989521026611,21.941276550293,22.1240577697754,21.5783462524414,0.145642384886742,0.113483555614948,0.078507401049137,0.058339413255453,0.043393805623055,23.4094562530518,23.6632308959961,-1.1967811584472,1.6105041503907,1.4681797027588,1.2853984832764,1.83111000061041,2.8072853088379,2.664960861206,2.4821796417236,3.0278911590576,-0.1423244476319,-0.3251056671143,0.220605850219705,-0.182781219482401,0.362930297851605,0.545711517334006,-0.253774642944304,0.943006515502894,-1.864278793335,-1.7219543457031,-1.5391731262207,-2.08488464355471,1
24.606237411499,21.7989521026611,21.941276550293,22.1240577697754,21.5783462524414,0.145642384886742,0.113483555614948,0.078507401049137,0.058339413255453,0.043393805623055,23.4094562530518,23.6632308959961,-1.1967811584472,1.6105041503907,1.4681797027588,1.2853984832764,1.83111000061041,2.8072853088379,2.664960861206,2.4821796417236,3.0278911590576,-0.1423244476319,-0.3251056671143,0.220605850219705,-0.182781219482401,0.362930297851605,0.545711517334006,-0.253774642944304,0.943006515502894,-1.864278793335,-1.7219543457031,-1.5391731262207,-2.08488464355471,1
20.4771327972412,20.0772933959961,19.9987812042236,19.8804130554199,19.8560218811035,0.153497919440269,0.119604535400867,0.082741864025593,0.061486072838306,0.045734342187643,20.6482410430908,21.1768379211426,0.171108245849602,0.570947647094702,0.649459838867202,0.767827987670905,0.792219161987305,0.399839401245099,0.478351593017599,0.596719741821303,0.621110916137702,0.0785121917725,0.196880340576204,0.221271514892603,0.118368148803704,0.142759323120103,0.024391174316399,-0.5285968780518,-0.699705123901403,-1.0995445251465,-1.178056716919,-1.29642486572271,-1.32081604003911,1
